frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,6,False,False,,,
00240,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,6,False,False,,,
00255,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,6,False,False,,,
00270,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,7,False,False,,,
00285,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,7,False,False,,,
00300,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,7,False,False,,,
00315,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,7,False,False,,,
00330,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,7,False,False,,,
00345,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,7,False,False,,,
00360,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,8,False,False,,,
00375,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,8,False,False,,,
00390,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,8,False,False,,,
00405,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,8,False,False,,,
00420,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,8,False,False,,,
00435,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,8,False,False,,,
00450,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,9,False,False,,,
00465,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,9,False,False,,,
00480,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,9,False,False,,,
00495,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,9,False,False,,,
00510,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,9,False,False,,,
00525,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,The Log,98.0,,,,10,False,False,,,
00540,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,The Log,98.0,Skeletons,94.0,3.0,9,True,True,,Skeletons,1.0
00555,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,The Log,98.0,,,,9,False,False,,,
00570,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,The Log,98.0,,,,9,False,False,,,
00585,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,The Log,98.0,,,,9,False,False,,,
00600,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,The Log,98.0,,,,9,False,False,,,
00615,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,The Log,98.0,4.0,8,True,True,,The Log,2.0
00630,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,8,False,False,,,
00645,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,8,False,False,,,
00660,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,8,False,False,,,
00675,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,8,False,False,,,
00690,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,8,False,False,,,
00705,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00720,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00735,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00750,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00765,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00780,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00795,Archers,1.0,Ice Golem,53.0,X,106.0,Fireball,30.0,Ice Spirit,54.0,1.0,9,True,False,,Ice Spirit,1.0
00810,Archers,1.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00825,Archers,1.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00840,Archers,1.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00855,Archers,1.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,9,False,False,,,
00870,Archers,1.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,10,False,False,,,
00885,Archers,1.0,Ice Golem,53.0,X,106.0,Fireball,30.0,,,,10,False,False,,,
00900,Tesla,97.0,Ice Golem,53.0,X,106.0,Fireball,30.0,Archers,1.0,1.0,7,True,True,,Archers,3.0
