frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,6,False,False,,,
00240,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,6,False,False,,,
00255,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,6,False,False,,,
00270,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,7,False,False,,,
00285,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,7,False,False,,,
00300,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,7,False,False,,,
00315,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,7,False,False,,,
00330,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,7,False,False,,,
00345,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,7,False,False,,,
00360,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,8,False,False,,,
00375,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,8,False,False,,,
00390,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,8,False,False,,,
00405,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,8,False,False,,,
00420,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,8,False,False,,,
00435,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,8,False,False,,,
00450,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,9,False,False,,,
00465,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,9,False,False,,,
00480,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,9,False,False,,,
00495,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,9,False,False,,,
00510,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,9,False,False,,,
00525,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00540,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00555,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00570,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00585,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00600,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00615,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00630,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00645,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00660,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00675,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00690,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00705,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
00720,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,Heal Spirit,50.0,Sparky,95.0,,,,10,False,False,,,
