frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,6,False,False,,,
00240,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,6,False,False,,,
00255,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,6,False,False,,,
00270,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,6,False,False,,,
00285,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,7,False,False,,,
00300,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,7,False,False,,,
00315,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,7,False,False,,,
00330,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,7,False,False,,,
00345,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,7,False,False,,,
00360,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,8,False,False,,,
00375,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,8,False,False,,,
00390,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,8,False,False,,,
00405,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,8,False,False,,,
00420,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,8,False,False,,,
00435,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,8,False,False,,,
00450,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,9,False,False,,,
00465,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,9,False,False,,,
00480,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,9,False,False,,,
00495,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,9,False,False,,,
00510,Barbarian Barrel,6.0,Goblin Cage,40.0,Musketeer,73.0,Poison,78.0,,,,9,False,False,,,
