frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Fireball,30.0,,,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00240,Fireball,30.0,,,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00255,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,2.0,6,True,False,,,
00270,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00285,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00300,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00315,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00330,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00345,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00360,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00375,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00390,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00405,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00420,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00435,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00450,Fireball,30.0,Mega Knight,63.0,Goblin Cage,40.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00465,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,Goblin Cage,40.0,3.0,5,True,True,,Goblin Cage,4.0
00480,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,5,False,False,,,
00495,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,5,False,False,,,
00510,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,5,False,False,,,
00525,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00540,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00555,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00570,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00585,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00600,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00615,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00630,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00645,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00660,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00675,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00690,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00705,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00720,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00735,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00750,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00765,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00780,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00795,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00810,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00825,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00840,Fireball,30.0,Mega Knight,63.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00855,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,Mega Knight,63.0,2.0,3,True,True,,Mega Knight,7.0
00870,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,3,False,False,,,
00885,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,3,False,False,,,
00900,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,3,False,False,,,
00915,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,3,False,False,,,
00930,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,3,False,False,,,
00945,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,4,False,False,,,
00960,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,4,False,False,,,
00975,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,4,False,False,,,
00990,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,4,False,False,,,
01005,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,4,False,False,,,
01020,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,4,False,False,,,
01035,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,5,False,False,,,
01050,Fireball,30.0,Balloon,4.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,5,False,False,,,
01065,Fireball,30.0,Musketeer,73.0,Heal Spirit,50.0,Barbarian Barrel,6.0,Balloon,4.0,2.0,0,True,True,,Balloon,5.0
01080,Fireball,30.0,Musketeer,73.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,0,False,False,,,
01095,Fireball,30.0,Musketeer,73.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,0,False,False,,,
01110,Fireball,30.0,Musketeer,73.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,1,False,False,,,
01125,Fireball,30.0,Musketeer,73.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,1,False,False,,,
01140,Fireball,30.0,Musketeer,73.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,1,False,False,,,
01155,Fireball,30.0,Musketeer,73.0,Heal Spirit,50.0,Barbarian Barrel,6.0,,,,1,False,False,,,
01170,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,Heal Spirit,50.0,3.0,0,True,True,,Heal Spirit,1.0
01185,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,0,False,False,,,
01200,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,1,False,False,,,
01215,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,1,False,False,,,
01230,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,1,False,False,,,
01245,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,1,False,False,,,
01260,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,1,False,False,,,
01275,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,2,False,False,,,
01290,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,2,False,False,,,
01305,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,2,False,False,,,
01320,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,2,False,False,,,
01335,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,2,False,False,,,
01350,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,2,False,False,,,
01365,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,3,False,False,,,
01380,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,3,False,False,,,
01395,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,3,False,False,,,
01410,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,3,False,False,,,
01425,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,3,False,False,,,
01440,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,4,False,False,,,
01455,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,Barbarian Barrel,6.0,,,,4,False,False,,,
