frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,6.0,,,
00240,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,6.0,,,
00255,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,6.0,,,
00270,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,6.0,,,
00285,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,7.0,,,
00300,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,7.0,,,
00315,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,7.0,,,
00330,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,7.0,,,
00345,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,7.0,,,
00360,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00375,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00390,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00405,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00420,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00435,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00450,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,9.0,,,
00465,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,9.0,,,
00480,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,9.0,,,
00495,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,9.0,,,
00510,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,,,,9.0,,,
00525,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00540,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00555,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00570,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00585,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00600,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,8.0,,,
00615,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,9.0,,,
00630,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,9.0,,,
00645,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,9.0,,,
00660,Fisherman,32.0,Cannon Cart,16.0,Heal Spirit,50.0,Fireball,30.0,,,,9.0,,,
00675,Fisherman,32.0,Cannon Cart,16.0,Skeletons,94.0,Fireball,30.0,,,,8.0,,,
00690,Fisherman,32.0,Cannon Cart,16.0,Skeletons,94.0,Fireball,30.0,,,,9.0,,,
00705,Fisherman,32.0,Cannon Cart,16.0,Skeletons,94.0,Fireball,30.0,,,,9.0,,,
00720,Fisherman,32.0,Cannon Cart,16.0,Skeletons,94.0,Fireball,30.0,,,,9.0,,,
00735,Fisherman,32.0,Cannon Cart,16.0,Skeletons,94.0,Fireball,30.0,,,,9.0,,,
