frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,6.0,,,
00240,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,6.0,,,
00255,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,6.0,,,
00270,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,3.0,,,
00285,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,7.0,,,
00300,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,7.0,,,
00315,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,7.0,,,
00330,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,7.0,,,
00345,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,7.0,,,
00360,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,8.0,,,
00375,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,8.0,,,
00390,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,8.0,,,
00405,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,8.0,,,
00420,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,8.0,,,
00435,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,9.0,,,
00450,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,9.0,,,
00465,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,9.0,,,
00480,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,9.0,,,
00495,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,9.0,,,
00510,Goblin Cage,40.0,Hunter,52.0,Royal Hogs,88.0,The Log,98.0,,,,9.0,,,
00525,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,5.0,,,
00540,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,5.0,,,
00555,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,5.0,,,
00570,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,5.0,,,
00585,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,5.0,,,
00600,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,5.0,,,
00615,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,6.0,,,
00630,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,6.0,,,
00645,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,6.0,,,
00660,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,6.0,,,
00675,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,6.0,,,
00690,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,7.0,,,
00705,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,7.0,,,
00720,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,7.0,,,
00735,Goblin Cage,40.0,Hunter,52.0,Magic Archer,62.0,The Log,98.0,,,,7.0,,,
