frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,6,,,
00240,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,6,,,
00255,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,6,,,
00270,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,6,,,
00285,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,7,,,
00300,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,7,,,
00315,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,7,,,
00330,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,7,,,
00345,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,7,,,
00360,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,8,,,
00375,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,8,,,
00390,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,8,,,
00405,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,8,,,
00420,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,8,,,
00435,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,8,,,
00450,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00465,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00480,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00495,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00510,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00525,Heal Spirit,50.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,10,,,
00540,Null,75.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00555,Barbarian Hut,7.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00570,Barbarian Hut,7.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00585,Barbarian Hut,7.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00600,Barbarian Hut,7.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00615,Barbarian Hut,7.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,9,,,
00630,Barbarian Hut,7.0,Fireball,30.0,Skeleton Dragons,92.0,Musketeer,73.0,,,,10,,,
