frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00360,Ice Spirit,54.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00375,Ice Spirit,54.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00390,Ice Spirit,54.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00405,Ice Spirit,54.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00420,Ice Spirit,54.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00435,Ice Spirit,54.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,9,False,False,,,
00450,Ice Spirit,54.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,9,False,False,,,
00465,Ice Spirit,54.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,9,False,False,,,
00480,Fireball,30.0,The Log,98.0,Knight,58.0,Archers,1.0,Ice Spirit,54.0,1.0,8,True,True,,Ice Spirit,1.0
00495,Fireball,30.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00510,Fireball,30.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00525,Fireball,30.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,9,False,False,,,
00540,Fireball,30.0,The Log,98.0,Knight,58.0,Archers,1.0,,,,9,False,False,,,
00555,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,The Log,98.0,2.0,10,True,False,,The Log,2.0
00570,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,10,False,False,,,
00585,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,7,False,True,,,
00600,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,7,False,False,,,
00615,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00630,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00645,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00660,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00675,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,8,False,False,,,
00690,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,9,False,False,,,
00705,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,9,False,False,,,
00720,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,9,False,False,,,
00735,Fireball,30.0,X,106.0,Knight,58.0,Archers,1.0,,,,9,False,False,,,
00750,Fireball,30.0,X,106.0,Skeletons,94.0,Archers,1.0,Knight,58.0,3.0,6,True,True,,Knight,3.0
00765,Fireball,30.0,X,106.0,Skeletons,94.0,Archers,1.0,,,,6,False,False,,,
00780,Fireball,30.0,X,106.0,Skeletons,94.0,Archers,1.0,,,,7,False,False,,,
00795,Fireball,30.0,X,106.0,Skeletons,94.0,Archers,1.0,,,,7,False,False,,,
00810,Fireball,30.0,X,106.0,Tesla,97.0,Archers,1.0,Skeletons,94.0,3.0,7,True,False,,Skeletons,1.0
00825,Fireball,30.0,X,106.0,Tesla,97.0,Archers,1.0,,,,6,False,True,,,
00840,Fireball,30.0,X,106.0,Tesla,97.0,Archers,1.0,,,,6,False,False,,,
00855,Fireball,30.0,X,106.0,Tesla,97.0,Archers,1.0,,,,7,False,False,,,
00870,Fireball,30.0,X,106.0,Tesla,97.0,Archers,1.0,,,,7,False,False,,,
00885,Fireball,30.0,X,106.0,Tesla,97.0,Archers,1.0,,,,7,False,False,,,
00900,Fireball,30.0,X,106.0,Ice Spirit,54.0,Archers,1.0,Tesla,97.0,3.0,3,True,True,,Tesla,4.0
00915,Fireball,30.0,X,106.0,Ice Spirit,54.0,Archers,1.0,,,,3,False,False,,,
00930,Fireball,30.0,X,106.0,Ice Spirit,54.0,Archers,1.0,,,,3,False,False,,,
00945,Fireball,30.0,X,106.0,Ice Spirit,54.0,Archers,1.0,,,,4,False,False,,,
00960,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,Archers,1.0,4.0,1,True,True,,Archers,3.0
00975,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,1,False,False,,,
00990,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,1,False,False,,,
01005,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,1,False,False,,,
01020,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,1,False,False,,,
01035,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,2,False,False,,,
01050,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,2,False,False,,,
01065,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,2,False,False,,,
01080,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,2,False,False,,,
01095,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,2,False,False,,,
01110,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,3,False,False,,,
01125,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,3,False,False,,,
01140,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,3,False,False,,,
01155,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,3,False,False,,,
01170,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,3,False,False,,,
01185,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,3,False,False,,,
01200,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,4,False,False,,,
01215,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,4,False,False,,,
01230,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,4,False,False,,,
01245,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,4,False,False,,,
01260,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,4,False,False,,,
01275,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,5,False,False,,,
01290,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,5,False,False,,,
01305,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,5,False,False,,,
01320,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,5,False,False,,,
01335,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,5,False,False,,,
01350,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,5,False,False,,,
01365,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,6,False,False,,,
01380,Fireball,30.0,X,106.0,Ice Spirit,54.0,The Log,98.0,,,,6,False,False,,,
