frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,6.0,,,
00240,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,6.0,,,
00255,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,6.0,,,
00270,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,6.0,,,
00285,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,7.0,,,
00300,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,7.0,,,
00315,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,7.0,,,
00330,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,7.0,,,
00345,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,7.0,,,
00360,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,8.0,,,
00375,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,8.0,,,
00390,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,8.0,,,
00405,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,8.0,,,
00420,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,8.0,,,
00435,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,8.0,,,
00450,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,9.0,,,
00465,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,9.0,,,
00480,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,9.0,,,
00495,Rocket,84.0,Knight,58.0,The Log,98.0,Electro Spirit,23.0,,,,9.0,,,
00510,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,8.0,,,
00525,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,8.0,,,
00540,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,9.0,,,
00555,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,9.0,,,
00570,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,9.0,,,
00585,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,9.0,,,
00600,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,9.0,,,
00615,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00630,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00645,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00660,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00675,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00690,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00705,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00720,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00735,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00750,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00765,Rocket,84.0,Knight,58.0,The Log,98.0,Tesla,97.0,,,,10.0,,,
00780,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,8.0,,,
00795,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,8.0,,,
00810,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,8.0,,,
00825,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,8.0,,,
00840,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,8.0,,,
00855,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,9.0,,,
00870,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,9.0,,,
00885,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,9.0,,,
00900,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,9.0,,,
00915,Rocket,84.0,Knight,58.0,Skeletons,94.0,Tesla,97.0,,,,9.0,,,
00930,Rocket,84.0,Knight,58.0,X,106.0,Tesla,97.0,,,,8.0,,,
00945,Rocket,84.0,Knight,58.0,X,106.0,Tesla,97.0,,,,9.0,,,
00960,Rocket,84.0,Knight,58.0,X,106.0,Tesla,97.0,,,,9.0,,,
00975,Rocket,84.0,Knight,58.0,X,106.0,Tesla,97.0,,,,9.0,,,
00990,Rocket,84.0,Knight,58.0,X,106.0,Tesla,97.0,,,,9.0,,,
01005,Rocket,84.0,Knight,58.0,X,106.0,Tesla,97.0,,,,9.0,,,
01020,Rocket,84.0,Knight,58.0,X,106.0,Tesla,97.0,,,,10.0,,,
