frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,6.0,,,
00240,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,6.0,,,
00255,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,6.0,,,
00270,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,7.0,,,
00285,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,7.0,,,
00300,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,7.0,,,
00315,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,7.0,,,
00330,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,7.0,,,
00345,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,7.0,,,
00360,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,8.0,,,
00375,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,8.0,,,
00390,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,8.0,,,
00405,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,8.0,,,
00420,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,8.0,,,
00435,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,9.0,,,
00450,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,9.0,,,
00465,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,9.0,,,
00480,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,9.0,,,
