frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,6.0,,,
00255,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,6.0,,,
00270,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,6.0,,,
00285,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,7.0,,,
00300,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,7.0,,,
00315,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,7.0,,,
00330,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,7.0,,,
00345,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,7.0,,,
00360,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,7.0,,,
00375,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,8.0,,,
00390,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,8.0,,,
00405,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,8.0,,,
00420,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,8.0,,,
00435,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,8.0,,,
00450,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,9.0,,,
00465,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,9.0,,,
00480,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,9.0,,,
00495,Hunter,52.0,Bats,9.0,Heal Spirit,50.0,The Log,98.0,,,,9.0,,,
00510,Hunter,52.0,Bats,9.0,Fisherman,32.0,The Log,98.0,,,,8.0,,,
00525,Hunter,52.0,Bats,9.0,Fisherman,32.0,The Log,98.0,,,,8.0,,,
00540,Hunter,52.0,Bats,9.0,Fisherman,32.0,The Log,98.0,,,,9.0,,,
00555,Hunter,52.0,Bats,9.0,Fisherman,32.0,The Log,98.0,,,,9.0,,,
00570,Hunter,52.0,Bats,9.0,Fisherman,32.0,The Log,98.0,,,,9.0,,,
00585,Hunter,52.0,Bats,9.0,Fisherman,32.0,Lava Hound,59.0,,,,7.0,,,
00600,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,7.0,,,
00615,Hunter,52.0,Bats,9.0,Fisherman,32.0,Golden Knight,46.0,,,,7.0,,,
00630,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,8.0,,,
00645,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,8.0,,,
00660,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,8.0,,,
00675,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,8.0,,,
00690,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,8.0,,,
00705,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,9.0,,,
00720,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,9.0,,,
00735,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,9.0,,,
00750,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,9.0,,,
00765,Hunter,52.0,Bats,9.0,Fisherman,32.0,Cannon Cart,16.0,,,,9.0,,,
00780,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,6.0,,,
00795,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,2.0,,,
00810,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,7.0,,,
00825,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,7.0,,,
00840,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,7.0,,,
00855,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,7.0,,,
00870,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00885,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00900,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00915,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00930,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00945,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00960,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
00975,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
00990,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01005,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01020,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01035,Hunter,52.0,Bats,9.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01050,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
01065,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
01080,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
01095,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
01110,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
01125,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01140,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01155,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01170,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01185,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01200,Hunter,52.0,Skeletons,94.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01215,Hunter,52.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01230,Hunter,52.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01245,Hunter,52.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01260,Hunter,52.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01275,Hunter,52.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,9.0,,,
01290,Hunter,52.0,Heal Spirit,50.0,Fireball,30.0,Royal Giant,87.0,,,,10.0,,,
01305,Hunter,52.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
01320,Hunter,52.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
01335,Barbarian Barrel,6.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,6.0,,,
01350,The Log,98.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,6.0,,,
01365,The Log,98.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,6.0,,,
01380,The Log,98.0,Heal Spirit,50.0,Fireball,30.0,Golden Knight,46.0,,,,6.0,,,
01395,The Log,98.0,Heal Spirit,50.0,Fireball,30.0,Golden Knight,46.0,,,,6.0,,,
01410,The Log,98.0,Heal Spirit,50.0,Fireball,30.0,Cannon Cart,16.0,,,,6.0,,,
01425,,,Heal Spirit,50.0,,,,,,,,1.0,,,
01440,,,Heal Spirit,50.0,,,,,,,,1.0,,,
01455,,,Heal Spirit,50.0,,,,,,,,1.0,,,
01470,,,Heal Spirit,50.0,,,,,,,,1.0,,,
01485,,,Heal Spirit,50.0,,,,,,,,1.0,,,
01500,The Log,98.0,Heal Spirit,50.0,,,,,,,,2.0,,,
01515,The Log,98.0,Heal Spirit,50.0,,,,,,,,2.0,,,
01530,The Log,98.0,Heal Spirit,50.0,,,,,,,,2.0,,,
01545,The Log,98.0,Heal Spirit,50.0,,,,,,,,2.0,,,
01560,The Log,98.0,Heal Spirit,50.0,,,,,,,,2.0,,,
01575,The Log,98.0,Heal Spirit,50.0,,,,,,,,2.0,,,
