frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00255,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,6,False,False,0.0,0.0
00270,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,6,False,False,0.0,0.0
00285,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,7,False,False,0.0,0.0
00300,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,7,False,False,0.0,0.0
00315,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,7,False,False,0.0,0.0
00330,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,7,False,False,0.0,0.0
00345,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,7,False,False,0.0,0.0
00360,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,7,False,False,0.0,0.0
00375,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,8,False,False,0.0,0.0
00390,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,8,False,False,0.0,0.0
00405,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,8,False,False,0.0,0.0
00420,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,8,False,False,0.0,0.0
00435,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,8,False,False,0.0,0.0
00450,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,9,False,False,0.0,0.0
00465,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,9,False,False,0.0,0.0
00480,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,9,False,False,0.0,0.0
00495,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,9,False,False,0.0,0.0
00510,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,9,False,False,0.0,0.0
00525,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,9,False,False,0.0,0.0
00540,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00555,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00570,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00585,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00600,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00615,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00630,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00645,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00660,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00675,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00690,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00705,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00720,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00735,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00750,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00765,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00780,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00795,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00810,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00825,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00840,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00855,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00870,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00885,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00900,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00915,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00930,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
00945,Witch,104.0,Arrows,2.0,Rage,81.0,Electro Dragon,21.0,,,,10,False,False,0.0,0.0
