frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,6,,,
00270,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,6,,,
00285,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,6,,,
00300,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00315,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00330,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00345,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00360,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00375,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00390,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,8,,,
00405,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,8,,,
00420,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,8,,,
00435,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,8,,,
00450,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,8,,,
00465,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,9,,,
00480,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,9,,,
00495,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,9,,,
00510,Archers,1.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,9,,,
00525,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,6,,,
00540,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,6,,,
00555,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00570,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00585,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00600,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00615,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,7,,,
00630,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,8,,,
00645,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,8,,,
00660,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,8,,,
00675,Fireball,30.0,X,106.0,Ice Golem,53.0,Tesla,97.0,,,,8,,,
00690,,,Skeletons,94.0,Ice Golem,53.0,,,,,,2,,,
00705,,,Skeletons,94.0,Ice Golem,53.0,,,,,,2,,,
00720,,,Skeletons,94.0,Ice Golem,53.0,,,,,,3,,,
00735,,,Skeletons,94.0,Ice Golem,53.0,,,,,,3,,,
00750,,,Skeletons,94.0,Ice Golem,53.0,,,,,,3,,,
00765,,,Skeletons,94.0,Ice Golem,53.0,,,,,,3,,,
00780,,,Skeletons,94.0,Ice Golem,53.0,,,,,,3,,,
00795,,,Skeletons,94.0,Ice Golem,53.0,,,,,,3,,,
00810,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
00825,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
00840,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
00855,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
00870,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
00885,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
00900,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
00915,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
00930,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
00945,Fireball,30.0,The Log,98.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
00960,Fireball,30.0,The Log,98.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
00975,Fireball,30.0,The Log,98.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
00990,,,Ice Spirit,54.0,Ice Golem,53.0,Goblin Drill,41.0,,,,3,,,
01005,,,Ice Spirit,54.0,Ice Golem,53.0,Goblin Drill,41.0,,,,3,,,
01020,,,Ice Spirit,54.0,Ice Golem,53.0,Goblin Drill,41.0,,,,3,,,
01035,,,Ice Spirit,54.0,Ice Golem,53.0,Goblin Drill,41.0,,,,3,,,
01050,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
01065,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
01080,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
01095,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
01110,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
