frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,6,,,
00270,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,6,,,
00285,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,7,,,
00300,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,7,,,
00315,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,7,,,
00330,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,7,,,
00345,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,7,,,
00360,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,7,,,
00375,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,8,,,
00390,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,8,,,
00405,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,8,,,
00420,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,8,,,
00435,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,8,,,
00450,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,9,,,
00465,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,9,,,
00480,Fireball,30.0,X,106.0,Archers,1.0,Skeletons,94.0,,,,9,,,
00495,Fireball,30.0,X,106.0,Archers,1.0,The Log,98.0,,,,8,,,
00510,Fireball,30.0,X,106.0,Archers,1.0,The Log,98.0,,,,8,,,
00525,Fireball,30.0,X,106.0,Archers,1.0,The Log,98.0,,,,8,,,
00540,Fireball,30.0,X,106.0,Archers,1.0,The Log,98.0,,,,9,,,
00555,Fireball,30.0,X,106.0,Archers,1.0,The Log,98.0,,,,9,,,
00570,Fireball,30.0,X,106.0,Archers,1.0,The Log,98.0,,,,9,,,
00585,Fireball,30.0,X,106.0,Archers,1.0,The Log,98.0,,,,9,,,
00600,Fireball,30.0,X,106.0,Archers,1.0,The Log,98.0,,,,9,,,
00615,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,8,,,
00630,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,8,,,
00645,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,8,,,
00660,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,8,,,
00675,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,8,,,
00690,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,8,,,
00705,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,9,,,
00720,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,9,,,
00735,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,9,,,
00750,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,9,,,
00765,Fireball,30.0,X,106.0,Archers,1.0,Tesla,97.0,,,,9,,,
00780,Fireball,30.0,X,106.0,Zap,107.0,Tesla,97.0,,,,6,,,
00795,Fireball,30.0,X,106.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00810,Fireball,30.0,X,106.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00825,Fireball,30.0,X,106.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00840,Fireball,30.0,X,106.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00855,Fireball,30.0,X,106.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00870,Fireball,30.0,X,106.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
00885,Fireball,30.0,X,106.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
00900,Fireball,30.0,X,106.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
00915,Fireball,30.0,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,,,,4,,,
00930,Fireball,30.0,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,,,,4,,,
00945,Magic Archer,62.0,X,106.0,Skeletons,94.0,Ice Golem,53.0,,,,3,,,
00960,Fireball,30.0,X,106.0,Skeletons,94.0,Ice Golem,53.0,,,,4,,,
00975,Fireball,30.0,X,106.0,Skeletons,94.0,Ice Golem,53.0,,,,4,,,
00990,Fireball,30.0,X,106.0,Skeletons,94.0,Ice Golem,53.0,,,,4,,,
01005,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,3,,,
01020,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,3,,,
01035,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,3,,,
01050,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,4,,,
01065,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,4,,,
01080,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,4,,,
01095,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,4,,,
01110,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,4,,,
01125,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,5,,,
01140,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,5,,,
01155,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,5,,,
01170,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,5,,,
01185,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,5,,,
01200,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,5,,,
01215,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,6,,,
01230,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,6,,,
01245,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,6,,,
01260,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,6,,,
01275,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,6,,,
01290,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,7,,,
01305,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,7,,,
01320,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,7,,,
01335,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,7,,,
01350,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,7,,,
01365,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,7,,,
01380,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,8,,,
01395,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,8,,,
01410,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,8,,,
01425,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,8,,,
01440,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,8,,,
01455,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,9,,,
01470,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,9,,,
01485,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,9,,,
01500,Fireball,30.0,X,106.0,The Log,98.0,Ice Golem,53.0,,,,9,,,
01515,Fireball,30.0,Archers,1.0,The Log,98.0,Ice Golem,53.0,,,,3,,,
01530,Fireball,30.0,Archers,1.0,The Log,98.0,Ice Golem,53.0,,,,3,,,
01545,Fireball,30.0,Archers,1.0,The Log,98.0,Ice Golem,53.0,,,,4,,,
01560,Fireball,30.0,Archers,1.0,The Log,98.0,Ice Golem,53.0,,,,4,,,
01575,Fireball,30.0,Archers,1.0,The Log,98.0,Ice Golem,53.0,,,,4,,,
01590,Fireball,30.0,Archers,1.0,The Log,98.0,Ice Golem,53.0,,,,4,,,
01605,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,2,,,
01620,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,2,,,
01635,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,3,,,
01650,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,3,,,
01665,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,3,,,
01680,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,3,,,
01695,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,3,,,
01710,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,4,,,
01725,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,4,,,
01740,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,4,,,
01755,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,4,,,
01770,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,4,,,
01785,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,4,,,
01800,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,5,,,
01815,Fireball,30.0,Archers,1.0,The Log,98.0,Tesla,97.0,,,,5,,,
01830,Fireball,30.0,Archers,1.0,Zap,107.0,Goblin Drill,41.0,,,,3,,,
01845,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Goblin Drill,41.0,,,,3,,,
01860,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Goblin Drill,41.0,,,,3,,,
01875,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,3,,,
01890,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,4,,,
01905,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,4,,,
01920,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,4,,,
01935,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,4,,,
01950,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,4,,,
01965,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,5,,,
01980,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,5,,,
01995,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,5,,,
02010,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,5,,,
02025,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,5,,,
02040,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,5,,,
02055,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,6,,,
02070,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,6,,,
02085,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,6,,,
02100,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,6,,,
02115,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,6,,,
02130,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
02145,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
02160,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
02175,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
02190,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
02205,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
02220,Fireball,30.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
02235,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,7,,,
02250,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,7,,,
02265,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,7,,,
02280,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,7,,,
02295,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
02310,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
02325,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
02340,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
02355,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
02370,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
02385,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,9,,,
02400,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,9,,,
02415,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,9,,,
02430,Fireball,30.0,Archers,1.0,X,106.0,Tesla,97.0,,,,8,,,
02445,Fireball,30.0,Archers,1.0,X,106.0,Tesla,97.0,,,,8,,,
02460,Fireball,30.0,Archers,1.0,X,106.0,Tesla,97.0,,,,8,,,
02475,Fireball,30.0,Archers,1.0,X,106.0,Tesla,97.0,,,,9,,,
02490,Fireball,30.0,Archers,1.0,X,106.0,Tesla,97.0,,,,9,,,
02505,Fireball,30.0,Archers,1.0,X,106.0,Tesla,97.0,,,,9,,,
02520,Fireball,30.0,Archers,1.0,X,106.0,Tesla,97.0,,,,9,,,
02535,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,3,,,
02550,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
02565,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
02580,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
02595,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
02610,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
02625,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
02640,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
02655,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
02670,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
02685,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
02700,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,5,,,
02715,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,6,,,
02730,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,6,,,
02745,Fireball,30.0,Archers,1.0,Ice Golem,53.0,Tesla,97.0,,,,6,,,
02760,Inferno Tower,57.0,The Log,98.0,Ice Golem,53.0,Goblin Drill,41.0,,,,3,,,
02775,Fireball,30.0,The Log,98.0,Ice Golem,53.0,Goblin Drill,41.0,,,,3,,,
02790,Fireball,30.0,The Log,98.0,Ice Golem,53.0,Tesla,97.0,,,,3,,,
02805,Fireball,30.0,The Log,98.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
02820,Fireball,30.0,The Log,98.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
02835,Fireball,30.0,Zap,107.0,Ice Golem,53.0,Barbarians,8.0,,,,2,,,
02850,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Barbarians,8.0,,,,2,,,
02865,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,2,,,
02880,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,2,,,
02895,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,3,,,
02910,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,3,,,
02925,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,3,,,
02940,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,3,,,
02955,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,3,,,
02970,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,Tesla,97.0,,,,4,,,
02985,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,2,,,
03000,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,2,,,
03015,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,2,,,
03030,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,2,,,
03045,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,2,,,
03060,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03075,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03090,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03105,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03120,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03135,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03150,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,4,,,
03165,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,4,,,
03180,Fireball,30.0,Ice Spirit,54.0,Skeletons,94.0,Tesla,97.0,,,,4,,,
03195,Fireball,30.0,X,106.0,Skeletons,94.0,Goblin Drill,41.0,,,,3,,,
03210,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03225,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,4,,,
03240,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,4,,,
03255,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,4,,,
03270,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,4,,,
03285,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,4,,,
03300,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,4,,,
03315,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,5,,,
03330,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,5,,,
03345,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,5,,,
03360,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,5,,,
03375,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,5,,,
03390,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,6,,,
03405,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,6,,,
03420,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,6,,,
03435,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,6,,,
03450,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,6,,,
03465,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,6,,,
03480,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,7,,,
03495,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,7,,,
03510,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,7,,,
03525,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,7,,,
03540,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,7,,,
03555,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
03570,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
03585,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
03600,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
03615,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
03630,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,8,,,
03645,Fireball,30.0,X,106.0,Skeletons,94.0,Tesla,97.0,,,,9,,,
03660,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03675,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03690,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03705,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
03720,Fireball,30.0,Archers,1.0,Skeletons,94.0,Tesla,97.0,,,,3,,,
