frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00225,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,6,False,False,0.0,0.0
00240,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,6,False,False,0.0,0.0
00255,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,6,False,False,0.0,0.0
00270,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,7,False,False,0.0,0.0
00285,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,7,False,False,0.0,0.0
00300,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,7,False,False,0.0,0.0
00315,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,7,False,False,0.0,0.0
00330,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,7,False,False,0.0,0.0
00345,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,7,False,False,0.0,0.0
00360,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,8,False,False,0.0,0.0
00375,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,8,False,False,0.0,0.0
00390,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,8,False,False,0.0,0.0
00405,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,8,False,False,0.0,0.0
00420,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,8,False,False,0.0,0.0
00435,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,8,False,False,0.0,0.0
00450,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,9,False,False,0.0,0.0
00465,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,9,False,False,0.0,0.0
00480,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,9,False,False,0.0,0.0
00495,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,9,False,False,0.0,0.0
00510,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,9,False,False,0.0,0.0
00525,Tornado,101.0,Rocket,84.0,Knight,58.0,Ice Wizard,55.0,,,,10,False,False,0.0,0.0
00540,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,Ice Wizard,55.0,4.0,7,True,True,3.0,3.0
00555,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,7,False,False,0.0,0.0
00570,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,7,False,False,0.0,0.0
00585,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,7,False,False,0.0,0.0
00600,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,7,False,False,0.0,0.0
00615,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,8,False,False,0.0,0.0
00630,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,8,False,False,0.0,0.0
00645,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,8,False,False,0.0,0.0
00660,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,8,False,False,0.0,0.0
00675,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,8,False,False,0.0,0.0
00690,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,8,False,False,0.0,0.0
00705,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,9,False,False,0.0,0.0
00720,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,9,False,False,0.0,0.0
00735,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,9,False,False,0.0,0.0
00750,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,9,False,False,0.0,0.0
00765,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,9,False,False,0.0,0.0
00780,Tornado,101.0,Rocket,84.0,Knight,58.0,X,106.0,,,,10,False,False,0.0,0.0
00795,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,X,106.0,4.0,4,True,True,6.0,6.0
00810,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,4,False,False,0.0,0.0
00825,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,4,False,False,0.0,0.0
00840,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,4,False,False,0.0,0.0
00855,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,4,False,False,0.0,0.0
00870,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,4,False,False,0.0,0.0
00885,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,5,False,False,0.0,0.0
00900,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,5,False,False,0.0,0.0
00915,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,5,False,False,0.0,0.0
00930,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,5,False,False,0.0,0.0
00945,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,5,False,False,0.0,0.0
00960,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,6,False,False,0.0,0.0
00975,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,6,False,False,0.0,0.0
00990,Tornado,101.0,Rocket,84.0,Knight,58.0,Tesla,97.0,,,,6,False,False,0.0,0.0
01005,Tornado,101.0,Rocket,84.0,The Log,98.0,Tesla,97.0,Knight,58.0,3.0,3,True,True,3.0,3.0
01020,Tornado,101.0,Rocket,84.0,The Log,98.0,Tesla,97.0,,,,3,False,False,0.0,0.0
01035,Tornado,101.0,Rocket,84.0,The Log,98.0,Tesla,97.0,,,,3,False,False,0.0,0.0
01050,Tornado,101.0,Rocket,84.0,The Log,98.0,Tesla,97.0,,,,4,False,False,0.0,0.0
01065,Tornado,101.0,Rocket,84.0,The Log,98.0,Tesla,97.0,,,,4,False,False,0.0,0.0
01080,Tornado,101.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,The Log,98.0,3.0,2,True,True,2.0,2.0
01095,Tornado,101.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,2,False,False,0.0,0.0
01110,Tornado,101.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,2,False,False,0.0,0.0
01125,Tornado,101.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,3,False,False,0.0,0.0
01140,Tornado,101.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,3,False,False,0.0,0.0
01155,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,Tornado,101.0,1.0,0,True,True,3.0,3.0
01170,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,0,False,False,0.0,0.0
01185,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,0,False,False,0.0,0.0
01200,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,0,False,False,0.0,0.0
01215,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,1,False,False,0.0,0.0
01230,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,1,False,False,0.0,0.0
01245,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,1,False,False,0.0,0.0
01260,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,1,False,False,0.0,0.0
01275,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,1,False,False,0.0,0.0
01290,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,1,False,False,0.0,0.0
01305,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,2,False,False,0.0,0.0
01320,Ice Wizard,55.0,Rocket,84.0,Skeletons,94.0,Tesla,97.0,,,,2,False,False,0.0,0.0
