frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,6,,,
00255,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,6,,,
00270,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,6,,,
00285,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,7,,,
00300,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,7,,,
00315,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,7,,,
00330,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,7,,,
00345,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,7,,,
00360,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,8,,,
00375,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,8,,,
00390,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,8,,,
00405,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,8,,,
00420,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,8,,,
00435,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,8,,,
00450,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,9,,,
00465,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,9,,,
00480,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,9,,,
00495,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,9,,,
00510,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,9,,,
00525,Tesla,97.0,The Log,98.0,Knight,58.0,X,106.0,,,,9,,,
00540,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,7,,,
00555,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,7,,,
00570,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,7,,,
00585,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,7,,,
00600,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,7,,,
00615,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,8,,,
00630,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,8,,,
00645,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,8,,,
00660,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,8,,,
00675,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,8,,,
00690,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,8,,,
00705,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,9,,,
00720,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,9,,,
00735,Tesla,97.0,The Log,98.0,Fireball,30.0,X,106.0,,,,9,,,
00750,Tesla,97.0,The Log,98.0,Archers,1.0,X,106.0,,,,5,,,
00765,Tesla,97.0,The Log,98.0,Archers,1.0,,,,,,5,,,
00780,Tesla,97.0,The Log,98.0,Archers,1.0,X,106.0,,,,6,,,
00795,Tesla,97.0,The Log,98.0,Archers,1.0,X,106.0,,,,6,,,
00810,Tesla,97.0,The Log,98.0,Archers,1.0,X,106.0,,,,6,,,
00825,Tesla,97.0,The Log,98.0,Archers,1.0,X,106.0,,,,6,,,
00840,Tesla,97.0,The Log,98.0,Archers,1.0,X,106.0,,,,6,,,
