frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,6,,,
00255,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,6,,,
00270,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,6,,,
00285,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,7,,,
00300,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,7,,,
00315,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,7,,,
00330,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,7,,,
00345,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,7,,,
00360,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
00375,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
00390,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
00405,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
00420,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
00435,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
00450,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
00465,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
00480,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
00495,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
00510,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
00525,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
00540,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00555,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00570,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00585,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00600,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00615,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00630,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00645,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00660,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00675,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00690,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00705,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00720,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00735,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00750,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00765,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00780,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00795,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00810,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00825,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00840,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00855,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00870,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00885,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00900,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00915,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00930,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00945,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00960,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00975,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
00990,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01005,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01020,Tornado,101.0,Barbarian Barrel,6.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01035,Tornado,101.0,Null,75.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
01050,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
01065,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
01080,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
01095,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
01110,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,8,,,
01125,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
01140,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
01155,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
01170,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
01185,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,9,,,
01200,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01215,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01230,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01245,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01260,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01275,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01290,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01305,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01320,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01335,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01350,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01365,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01380,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01395,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01410,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01425,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Valkyrie,102.0,,,,10,,,
01440,Tornado,101.0,,,Poison,78.0,Ice Wizard,55.0,,,,6,,,
01455,Tornado,101.0,,,Poison,78.0,Ice Wizard,55.0,,,,6,,,
01470,Tornado,101.0,,,Poison,78.0,Ice Wizard,55.0,,,,6,,,
01485,Tornado,101.0,,,Poison,78.0,Ice Wizard,55.0,,,,6,,,
01500,Tornado,101.0,,,Poison,78.0,Ice Wizard,55.0,,,,6,,,
01515,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Ice Wizard,55.0,,,,7,,,
01530,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Ice Wizard,55.0,,,,7,,,
01545,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Ice Wizard,55.0,,,,7,,,
01560,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Ice Wizard,55.0,,,,7,,,
01575,Tornado,101.0,Barbarian Hut,7.0,Poison,78.0,Ice Wizard,55.0,,,,7,,,
01590,,,,,,,,,,,,2,,,
01605,,,,,,,,,,,,1,,,
01620,,,,,,,,,,,,1,,,
01635,,,,,,,,,,,,1,,,
01650,,,,,,,,,,,,1,,,
01665,,,,,,,,,,,,1,,,
01680,,,,,,,,,,,,2,,,
01695,,,,,,,,,,,,2,,,
01710,,,,,,,,,,,,2,,,
01725,,,,,,,,,,,,2,,,
01740,,,,,,,,,,,,2,,,
01755,,,,,,,,,,,,2,,,
01770,Tornado,101.0,,,,,Ice Wizard,55.0,,,,3,,,
01785,Tornado,101.0,,,,,Ice Wizard,55.0,,,,3,,,
01800,Tornado,101.0,,,,,Ice Wizard,55.0,,,,3,,,
