frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00240,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,6,False,False,0.0,0.0
00255,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,6,False,False,0.0,0.0
00270,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,6,False,False,0.0,0.0
00285,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,7,False,False,0.0,0.0
00300,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,7,False,False,0.0,0.0
00315,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,7,False,False,0.0,0.0
00330,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,7,False,False,0.0,0.0
00345,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,7,False,False,0.0,0.0
00360,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,7,False,False,0.0,0.0
00375,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,8,False,False,0.0,0.0
00390,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,8,False,False,0.0,0.0
00405,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,8,False,False,0.0,0.0
00420,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,8,False,False,0.0,0.0
00435,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,8,False,False,0.0,0.0
00450,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,8,False,False,0.0,0.0
00465,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,9,False,False,0.0,0.0
00480,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,9,False,False,0.0,0.0
00495,The Log,98.0,Knight,58.0,Tornado,101.0,Skeletons,94.0,,,,9,False,False,0.0,0.0
00510,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,Skeletons,94.0,4.0,8,True,True,1.0,1.0
00525,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,,,,8,False,False,0.0,0.0
00540,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00555,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00570,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00585,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00600,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00615,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00630,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,,,,10,False,False,0.0,0.0
00645,The Log,98.0,Knight,58.0,Tornado,101.0,X,106.0,,,,10,False,False,0.0,0.0
00660,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,The Log,98.0,1.0,8,True,True,2.0,2.0
00675,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,,,,8,False,False,0.0,0.0
00690,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,,,,8,False,False,0.0,0.0
00705,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,,,,8,False,False,0.0,0.0
00720,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,,,,8,False,False,0.0,0.0
00735,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00750,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00765,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00780,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00795,Rocket,84.0,Knight,58.0,Tornado,101.0,X,106.0,,,,9,False,False,0.0,0.0
00810,Rocket,84.0,Knight,58.0,Tornado,101.0,Ice Wizard,55.0,X,106.0,4.0,3,True,True,6.0,6.0
00825,Rocket,84.0,Knight,58.0,Tornado,101.0,Ice Wizard,55.0,,,,4,False,False,0.0,0.0
00840,Rocket,84.0,Knight,58.0,Tornado,101.0,Ice Wizard,55.0,,,,4,False,False,0.0,0.0
00855,Rocket,84.0,Knight,58.0,Tornado,101.0,Ice Wizard,55.0,,,,4,False,False,0.0,0.0
