frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00240,Rocket,84.0,,,Rascals,83.0,,,,,,6,False,False,0.0,0.0
00255,Rocket,84.0,,,Rascals,83.0,,,,,,6,False,False,0.0,0.0
00270,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,4.0,6,True,False,0.0,0.0
00285,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,7,False,False,0.0,0.0
00300,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,7,False,False,0.0,0.0
00315,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,7,False,False,0.0,0.0
00330,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,7,False,False,0.0,0.0
00345,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,7,False,False,0.0,0.0
00360,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,8,False,False,0.0,0.0
00375,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,8,False,False,0.0,0.0
00390,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,8,False,False,0.0,0.0
00405,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,8,False,False,0.0,0.0
00420,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,8,False,False,0.0,0.0
00435,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,8,False,False,0.0,0.0
00450,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,9,False,False,0.0,0.0
00465,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,9,False,False,0.0,0.0
00480,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,9,False,False,0.0,0.0
00495,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,9,False,False,0.0,0.0
00510,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,9,False,False,0.0,0.0
00525,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,10,False,False,0.0,0.0
00540,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,10,False,False,0.0,0.0
00555,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,10,False,False,0.0,0.0
00570,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,10,False,False,0.0,0.0
00585,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,10,False,False,0.0,0.0
00600,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,10,False,False,0.0,0.0
00615,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,7,False,True,3.0,0.0
00630,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,7,False,False,0.0,0.0
00645,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,7,False,False,0.0,0.0
00660,Rocket,84.0,Rascals,83.0,Rascals,83.0,The Log,98.0,,,,7,False,False,0.0,0.0
